time,team,amount
0.0,BLUE,3000
5.770999908447266,RED,500
16.734999895095825,BLUE,4500
17.789000034332275,RED,90
18.061000108718872,RED,500
23.658999919891357,RED,1000
26.216000080108643,BLUE,2000
26.652999877929688,RED,326
27.54200005531311,BLUE,25000
33.98799991607666,RED,2000
35.41499996185303,BLUE,3000
35.960999965667725,BLUE,10000
37.456000089645386,BLUE,1000
38.1949999332428,BLUE,1000
42.055999994277954,RED,2000
44.60199999809265,RED,665
47.700000047683716,BLUE,1700
58.47199988365173,BLUE,1500
60.28699994087219,RED,3000
62.60199999809265,RED,1000
64.92899990081787,BLUE,1000
67.39199995994568,BLUE,3000
68.49799990653992,BLUE,5000
68.87599992752075,BLUE,500
70.91300010681152,RED,500
71.2409999370575,BLUE,2950
81.0550000667572,BLUE,2000
82.02900004386902,BLUE,1000
82.53999996185303,RED,1000
86.45700001716614,RED,9924
93.04699993133545,BLUE,420
103.82500004768372,RED,974
104.62400007247925,BLUE,3000
105.5460000038147,RED,3000
106.39199995994568,RED,2500
116.52600002288818,RED,1000
119.8289999961853,RED,3000
121.63499999046326,RED,1000
123.11500000953674,BLUE,500
128.1340000629425,RED,4000
130.24000000953674,RED,205
134.27999997138977,RED,500
134.44600009918213,RED,5486
135.18099999427795,RED,4000
135.614000082016,RED,500
136.53200006484985,RED,1000
138.90400004386902,RED,2950
139.29800009727478,RED,6000
145.0420000553131,RED,800
146.40000009536743,BLUE,250
146.510999917984,RED,1337
150.66300010681152,RED,4000
151.41599988937378,BLUE,400
158.65100002288818,RED,84
159.39299988746643,BLUE,500
160.56699991226196,BLUE,500
160.70600008964539,RED,1699
160.99399995803833,RED,250
161.24900007247925,RED,5000
161.7920000553131,RED,600
163.47499990463257,BLUE,500
164.5220000743866,RED,3000
165.05999994277954,RED,200
167.14400005340576,RED,50000
167.59100008010864,RED,5000
167.79500007629395,BLUE,5000
168.69899988174438,RED,500
170.50600004196167,RED,426
170.9539999961853,RED,500
171.45099997520447,RED,290
172.42400002479553,BLUE,2000
176.5699999332428,RED,200
176.65700006484985,BLUE,3003
177.02300000190735,RED,500
177.29800009727478,RED,2009
177.61100006103516,BLUE,1390
178.62599992752075,BLUE,5000
179.1380000114441,RED,25000
179.30999994277954,BLUE,100
179.68600010871887,RED,20000
179.85400009155273,RED,2000
180.58699989318848,BLUE,5000
181.20700001716614,BLUE,1641
182.22300004959106,RED,4000
187.6489999294281,RED,10000
192.50499987602234,RED,500
